route_id,service_id,trip_id,direction_id,shape_id
"001","30_316310","30_751991","1","396176472"
"001","30_316140","30_752082","1","396176472"
"001","30_316140","30_752083","1","396176472"
"001","30_316140","30_752084","1","396176472"
"001","30_316140","30_752085","1","396176472"
"001","30_316140","30_752086","1","396176472"
"001","30_316140","30_752087","1","396176472"
"001","30_316140","30_752088","1","396176472"
"001","30_316140","30_752089","1","396176472"
"001","30_316140","30_752090","1","396176472"
"001","30_316140","30_752091","1","396176472"
"001","30_316140","30_752092","0","524322643"
"001","30_316140","30_752093","0","524322643"
"001","30_316140","30_752094","0","524322643"
"001","30_316140","30_752095","0","524322643"
"001","30_316140","30_752096","0","524322643"
"001","30_316140","30_752097","0","524322643"
"001","30_316140","30_752098","0","524322643"
"001","30_316140","30_752099","0","524322643"
"001","30_316140","30_752100","0","524322643"
"001","30_316140","30_752101","0","524322643"
"001","30_316140","30_752102","0","524322643"
"001","30_316140","30_752103","0","524322643"
"001","30_316140","30_752104","0","524322643"
"001","30_316140","30_752105","0","524322643"
"001","30_316140","30_752106","0","524322643"
"001","30_316140","30_752107","0","524322643"
"001","30_316140","30_752108","0","346864690"
"001","30_316140","30_752109","0","346864690"
"001","30_316140","30_752110","1","3158450482"
"001","30_316140","30_752111","1","3158450482"
"001","30_316140","30_752112","1","396176472"
"001","30_316142","30_752429","0","524322643"
"001","30_316142","30_752430","0","875230756"
"001","30_316142","30_752431","0","524322643"
"001","30_316142","30_752432","0","2943022158"
"001","30_316142","30_752433","0","346864690"
"001","30_316142","30_752434","1","3158450482"
"001","30_316142","30_752435","1","3158450482"
"001","30_316142","30_752436","1","3032577567"
"001","30_316142","30_752437","1","287693043"
"001","30_316142","30_752438","1","396176472"
"001","30_316142","30_752439","1","396176472"
"001","30_316313","30_752780","0","524322643"
"001","30_316322","30_753111","0","524322643"
"001","30_316140","30_754804","1","396176472"
"001","30_316140","30_754805","1","396176472"
"001","30_316140","30_754806","1","396176472"
"001","30_316140","30_754807","1","396176472"
"001","30_316140","30_754808","1","396176472"
"001","30_316220","30_755004","0","524322643"
"001","30_316220","30_755005","0","524322643"
"001","30_316220","30_755006","0","2943022158"
"001","30_316220","30_755007","0","2943022158"
"001","30_316220","30_755008","0","346864690"
"001","30_316220","30_755009","1","3158450482"
"001","30_316220","30_755010","1","396176472"
"001","30_316220","30_755011","1","3032577567"
"001","30_316220","30_755012","1","3410341686"
"001","30_316220","30_755013","1","396176472"
"002","30_317328","30_752124","0","3203569296"
"002","30_317328","30_752125","0","2490524337"
"002","30_317328","30_752126","0","2490524337"
"002","30_317328","30_752127","1","2892620315"
"002","30_317328","30_752128","1","2892620315"
"002","30_317328","30_752129","1","2892620315"
"002","30_317328","30_752572","0","2490524337"
"002","30_317328","30_752573","1","1631254300"
"002","30_317328","30_752574","0","1443447820"
"002","30_317328","30_752575","1","3103772864"
"002","30_317328","30_752576","0","2490524337"
"002","30_317328","30_752577","0","2490524337"
"002","30_317328","30_752578","0","2490524337"
"002","30_317328","30_752579","1","2892620315"
"002","30_317328","30_752580","0","2490524337"
"002","30_317328","30_752581","1","2892620315"
"002","30_317328","30_752582","1","2892620315"
"002","30_317328","30_752583","1","2892620315"
"002","30_317328","30_752584","1","2892620315"
"002","30_317328","30_752585","1","2892620315"
"002","30_317328","30_752586","0","2490524337"
"002","30_317328","30_752587","0","2490524337"
"002","30_317328","30_752588","0","2490524337"
"002","30_317328","30_752589","0","2490524337"
"002","30_317328","30_752590","0","3203569296"
"002","30_317328","30_752591","1","2892620315"
"002","30_317328","30_752592","1","2892620315"
"002","30_317328","30_752593","1","2892620315"
"002","30_317328","30_752594","1","2892620315"
"002","30_317328","30_752595","1","2892620315"
"002","30_317328","30_752596","1","2892620315"
"002","30_317328","30_752597","1","2892620315"
"002","30_317328","30_752598","1","2892620315"
"002","30_317328","30_752599","1","2892620315"
"002","30_317328","30_752600","0","3203569296"
"002","30_317328","30_752601","0","2490524337"
"002","30_317328","30_752602","0","2490524337"
"002","30_317328","30_752603","0","2490524337"
"002","30_317328","30_752604","0","2490524337"
"002","30_317328","30_752605","0","2490524337"
"002","30_317328","30_752606","0","2490524337"
"002","30_317328","30_752607","0","2490524337"
"002","30_317329","30_754872","0","285364529"
"002","30_317329","30_754873","0","285364529"
"002","30_317329","30_754874","0","285364529"
"002","30_317329","30_754875","0","285364529"
"002","30_317329","30_754876","0","285364529"
"002","30_317329","30_754877","0","285364529"
"002","30_317329","30_754878","0","285364529"
"002","30_317329","30_754879","0","285364529"
"002","30_318290","30_755099","0","285364529"
"002","30_318290","30_755100","0","285364529"
"002","30_318290","30_755101","0","285364529"
"002","30_318290","30_755102","0","285364529"
"003","30_317304","30_752205","1","2531960359"
"003","30_317304","30_752206","1","2531960359"
"003","30_317304","30_752207","1","2531960359"
"003","30_317304","30_752208","1","2531960359"
"003","30_317304","30_752209","1","2531960359"
"003","30_317304","30_752210","1","2531960359"
"003","30_317304","30_752211","1","2531960359"
"003","30_317304","30_752212","1","2531960359"
"003","30_317304","30_752213","1","2531960359"
"003","30_317304","30_752214","1","2531960359"
"003","30_317304","30_752215","1","2531960359"
"003","30_317304","30_752216","1","2531960359"
