shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence
1934854032;40.6751600008809;14.7717600054954;1
1934854032;40.6745500000138;14.7713699999995;2
1934854032;40.6748000000135;14.7706199999998;3
1934854032;40.6748800000135;14.7702899999999;4
1934854032;40.6750300000133;14.7697800000001;5
1934854032;40.6754300000129;14.7684800000005;6
1934854032;40.6759800000123;14.7663600000011;7
1934854032;40.6763000000119;14.7652400000014;8
1934854032;40.6771100000112;14.7656000000013;9
1934854032;40.6774500000109;14.7657200000012;10
1934854032;40.6782000000103;14.7660400000011;11
1934854032;40.6781200000104;14.766370000001;12
1934854032;40.6783200000102;14.7670500000008;13
1934854032;40.67865000001;14.7678400000006;14
1934854032;40.6788000000099;14.7682400000005;15
1934854032;40.6789000000098;14.7685800000004;16
1934854032;40.6791600000096;14.7691400000002;17
1934854032;40.6792300000096;14.7694900000001;18
1934854032;40.6794400000094;14.77007;19
1934854032;40.6796100000093;14.77016;20
1934854032;40.6793300000095;14.7714699999996;21
1934854032;40.6793000000095;14.7717699999995;22
1934854032;40.6791900000095;14.7722499999994;23
1934854032;40.6790800000096;14.7725899999993;24
1934854032;40.6793500000094;14.7729499999992;25
1934854032;40.6795000000093;14.7732099999992;26
1934854032;40.6798900000089;14.7736499999991;27
1934854032;40.6794500000092;14.7743999999989;28
1934854032;40.6803800000085;14.7744399999989;29
1934854032;40.681140000008;14.774199999999;30
1934854032;40.681170000008;14.774279999999;31
1934854032;40.6812100000079;14.774319999999;32
1934854032;40.6812900000079;14.774329999999;33
1934854032;40.6813600000078;14.7746399999989;34
1934854032;40.6814500000077;14.7746299999989;35
1934854032;40.6816000000076;14.7746899999989;36
1934854032;40.6826200000069;14.7752499999989;37
1934854032;40.6837100000062;14.7760399999988;38
1934854032;40.684050000006;14.775319999999;39
1934854032;40.684160000006;14.775319999999;40
1934854032;40.6842400000059;14.775269999999;41
1934854032;40.6843000000059;14.775139999999;42
1934854032;40.6843100000059;14.775029999999;43
1934854032;40.6843000000059;14.7749299999991;44
1934854032;40.6842400000059;14.7748399999991;45
1934854032;40.6840300000061;14.7748199999991;46
1934854032;40.6838800000062;14.7745799999991;47
1934854032;40.6841100000061;14.7734699999993;48
1934854032;40.6841700000061;14.7727499999995;49
1934854032;40.6847300000057;14.7736599999993;50
1934854032;40.6848200000057;14.7737799999993;51
1934854032;40.6850100000056;14.7739599999993;52
1934854032;40.6853400000054;14.7741999999993;53
1934854032;40.6859100000051;14.7743799999992;54
1934854032;40.6868500000046;14.7747199999993;55
1934854032;40.6870400000045;14.7746899999993;56
1934854032;40.6870700000045;14.7746599999993;57
1934854032;40.6871300000044;14.7744199999993;58
1934854032;40.6873600000043;14.7745199999993;59
1934854032;40.6877500000041;14.7748199999993;60
1934854032;40.688100000004;14.7749899999993;61
1934854032;40.6881600000039;14.7749399999993;62
1934854032;40.6882800000039;14.7745999999993;63
1934854032;40.6883900000039;14.7744799999994;64
1934854032;40.6897400000033;14.7745399999994;65
1934854032;40.6899600000032;14.7745199999994;66
1934854032;40.6903400000031;14.7745399999994;67
1934854032;40.6920200000024;14.7751599999995;68
1934854032;40.6920600000024;14.7748899999995;69
1934854032;40.6925500000023;14.7749299999995;70
1934854032;40.693450000002;14.7751999999995;71
1934854032;40.693640000002;14.7750299999995;72
1934854032;40.6943900000018;14.7745199999996;73
1934854032;40.6947200000017;14.7737799999997;74
1934854032;40.6948100000017;14.7736299999997;75
1934854032;40.6949200000017;14.7735399999997;76
1934854032;40.6950400000017;14.7734999999997;77
1934854032;40.6962800000014;14.7734399999998;78
1934854032;40.6964500000013;14.7734799999998;79
1934854032;40.6966300000013;14.7735699999998;80
1934854032;40.6967600000013;14.7735999999998;81
1934854032;40.6974500000011;14.7736299999998;82
1934854032;40.6987000000009;14.7735999999998;83
1934854032;40.6990200000008;14.7735399999998;84
1934854032;40.6994400000008;14.7733999999998;85
1934854032;40.6998800000007;14.7732099999998;86
1934854032;40.7001500000007;14.7730599999999;87
1934854032;40.7009300000006;14.7722899999999;88
1934854032;40.7013000000006;14.7719599999999;89
1934854032;40.7017700000005;14.7716099999999;90
1934854032;40.7021600000005;14.7714299999999;91
1934854032;40.7022800000004;14.77146;92
1934854032;40.7023500000004;14.7715199999999;93
1934854032;40.7024000000004;14.7716199999999;94
1934854032;40.7024200000004;14.7722199999999;95
1934854032;40.7024900000004;14.7723999999999;96
1934854032;40.7026300000004;14.7725599999999;97
1934854032;40.7027800000004;14.7726399999999;98
1934854032;40.7029600000004;14.7726399999999;99
1934854032;40.7031500000004;14.7725899999999;100
1934854032;40.7041300000003;14.77206;101
1934854032;40.7043500000003;14.77203;102
1934854032;40.7046900000002;14.77228;103
1934854032;40.7049700000002;14.7725199999999;104
1934854032;40.7052200000002;14.77262;105
1934854032;40.7057000000002;14.7727;106
1934854032;40.7059000000002;14.77276;107
1934854032;40.7064400000001;14.77307;108
1934854032;40.7068200000001;14.77333;109
1934854032;40.7070300000001;14.77343;110
1934854032;40.7071600000001;14.77343;111
1934854032;40.7074600000001;14.77305;112
1934854032;40.7076400000001;14.77297;113
1934854032;40.7078100000001;14.77293;114
1934854032;40.7079900000001;14.77295;115
1934854032;40.7082100000001;14.77302;116
1934854032;40.7083900000001;14.77305;117
1934854032;40.70903;14.77297;118
1934854032;40.70939;14.77285;119
1934854032;40.70957;14.77272;120
1934854032;40.70981;14.7722;121
1934854032;40.70999;14.77203;122
1934854032;40.71044;14.7717;123
1934854032;40.71056;14.77157;124
1934854032;40.71086;14.77075;125
